cid,smiles,bioactivity,type,value (nM)
127024297,C1CC1NC2=NC3=C(C=C(C=C3)Br)N=C2N4CCC(CC4)OC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,1430
127024219,C1CC1NC2=NC3=C(C=C(C=C3)Br)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,4820
127024219,C1CC1NC2=NC3=C(C=C(C=C3)Br)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,4820
127024606,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCC(CC4)C(C5=C(C=C(C=C5)F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,24
127024606,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCC(CC4)C(C5=C(C=C(C=C5)F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,24
127024736,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCC(CC4)C(C5=C(C=CC(=C5)F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,75
127024736,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCC(CC4)C(C5=C(C=CC(=C5)F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,75
127024463,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCC(CC4)CC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,64
127024463,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCC(CC4)CC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,64
90038741,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCC(CC4)CN5C=C(C=CC5=O)Cl,Active,IC50,930
90038741,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCC(CC4)CN5C=C(C=CC5=O)Cl,Active,IC50,930
127024693,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCC(CC4)OC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,90
127024693,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCC(CC4)OC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,90
90038545,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl,Active,IC50,250
90038545,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl,Active,IC50,250
127024688,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,380
127024688,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,380
127024285,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=C(C=C(C=C5)C(F)(F)F)Cl.C(=O)(C(F)(F)F)O,Active,IC50,1300
127024285,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=C(C=C(C=C5)C(F)(F)F)Cl.C(=O)(C(F)(F)F)O,Active,IC50,1300
127024598,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=C(C=CC(=C5)C(F)(F)F)Cl.C(=O)(C(F)(F)F)O,Active,IC50,1360
127024598,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=C(C=CC(=C5)C(F)(F)F)Cl.C(=O)(C(F)(F)F)O,Active,IC50,1360
90037349,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC(=CC=C5)Cl,Active,IC50,5620
90037349,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC(=CC=C5)Cl,Active,IC50,5620
127024602,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=C(C=C5)Cl.C(=O)(C(F)(F)F)O,Active,IC50,570
127024602,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=C(C=C5)Cl.C(=O)(C(F)(F)F)O,Active,IC50,570
127024547,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=C(C=C5)OC(F)(F)F.C(=O)(C(F)(F)F)O,Active,IC50,4290
127024547,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=C(C=C5)OC(F)(F)F.C(=O)(C(F)(F)F)O,Active,IC50,4290
127024597,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=C(S5)Br.C(=O)(C(F)(F)F)O,Active,IC50,420
127024597,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=C(S5)Br.C(=O)(C(F)(F)F)O,Active,IC50,420
127024687,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=CC(=C5)C#N.C(=O)(C(F)(F)F)O,Active,IC50,2540
127024687,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=CC(=C5)C#N.C(=O)(C(F)(F)F)O,Active,IC50,2540
90037835,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=CC=C5Br,Active,IC50,1850
90037835,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=CC=C5Br,Active,IC50,1850
127024265,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=CC=C5C#N.C(=O)(C(F)(F)F)O,Active,IC50,4340
127024265,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=CC=C5C#N.C(=O)(C(F)(F)F)O,Active,IC50,4340
127024419,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=CC=C5F.C(=O)(C(F)(F)F)O,Active,IC50,4590
127024419,C1CC1NC2=NC3=C(C=C(C=C3)C#N)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=CC=C5F.C(=O)(C(F)(F)F)O,Active,IC50,4590
127024559,C1CC1NC2=NC3=C(C=C(C=C3)F)N=C2N4CCC(CC4)CC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,72
127024559,C1CC1NC2=NC3=C(C=C(C=C3)F)N=C2N4CCC(CC4)CC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,72
90038663,C1CC1NC2=NC3=C(C=C(C=C3)F)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=CC=C5,Active,IC50,9440
90038663,C1CC1NC2=NC3=C(C=C(C=C3)F)N=C2N4CCN(CC4)S(=O)(=O)C5=CC=CC=C5,Active,IC50,9440
90038494,C1CC1NC2=NC3=C(C=C(N=C3)C#N)N=C2N4CCC(CC4)[C@@H](C5=C(C=C(C=C5)F)F)F,Active,IC50,45
90038494,C1CC1NC2=NC3=C(C=C(N=C3)C#N)N=C2N4CCC(CC4)[C@@H](C5=C(C=C(C=C5)F)F)F,Active,IC50,45
118308533,C1CC1NC2=NC3=C(C=C(N=C3)C#N)N=C2N4CCC(CC4)[C@H](C5=C(C=C(C=C5)F)F)F,Active,IC50,24
118308533,C1CC1NC2=NC3=C(C=C(N=C3)C#N)N=C2N4CCC(CC4)[C@H](C5=C(C=C(C=C5)F)F)F,Active,IC50,24
127024248,C1CC1NC2=NC3=C(C=CC(=C3)Br)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,2340
127024248,C1CC1NC2=NC3=C(C=CC(=C3)Br)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,2340
127024288,C1CC1NC2=NC3=C(C=CC(=C3)C#N)N=C2N4CCC(CC4)C(C5=C(C=C(C=C5)F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,29
127024288,C1CC1NC2=NC3=C(C=CC(=C3)C#N)N=C2N4CCC(CC4)C(C5=C(C=C(C=C5)F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,29
127024282,C1CC1NC2=NC3=C(C=CC(=C3)C#N)N=C2N4CCN(CC4)C(=O)C5=CC=C(C=C5)Cl.C(=O)(C(F)(F)F)O,Active,IC50,340
127024282,C1CC1NC2=NC3=C(C=CC(=C3)C#N)N=C2N4CCN(CC4)C(=O)C5=CC=C(C=C5)Cl.C(=O)(C(F)(F)F)O,Active,IC50,340
127024384,C1CC1NC2=NC3=C(C=CC=C3Br)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,1640
127024384,C1CC1NC2=NC3=C(C=CC=C3Br)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,1640
127024264,C1CC1NC2=NC3=C(C=CC=C3N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl)C#N.C(=O)(C(F)(F)F)O,Active,IC50,1490
127024264,C1CC1NC2=NC3=C(C=CC=C3N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl)C#N.C(=O)(C(F)(F)F)O,Active,IC50,1490
127024823,C1CC1NC2=NC3=C(C=CN=C3)N=C2N4CCC(CC4)CC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,27
127024823,C1CC1NC2=NC3=C(C=CN=C3)N=C2N4CCC(CC4)CC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,27
127024451,C1CC1NC2=NC3=C(C=CN=C3)N=C2N4CCC(CC4)OC5=C(C=C(C=C5)O)F.C(=O)(C(F)(F)F)O,Active,IC50,54
127024451,C1CC1NC2=NC3=C(C=CN=C3)N=C2N4CCC(CC4)OC5=C(C=C(C=C5)O)F.C(=O)(C(F)(F)F)O,Active,IC50,54
127024449,C1CC1NC2=NC3=C(C=CN=C3)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,56
127024449,C1CC1NC2=NC3=C(C=CN=C3)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,56
127024455,C1CC1NC2=NC3=C(C=CN=C3)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,140
127024455,C1CC1NC2=NC3=C(C=CN=C3)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,140
90038062,C1CC1NC2=NC3=C(C=NC(=C3)C#N)N=C2N4CCC(CC4)[C@@H](C5=C(C=C(C=C5)F)F)F,Active,IC50,11
90038062,C1CC1NC2=NC3=C(C=NC(=C3)C#N)N=C2N4CCC(CC4)[C@@H](C5=C(C=C(C=C5)F)F)F,Active,IC50,11
90039456,C1CC1NC2=NC3=C(C=NC(=C3)C#N)N=C2N4CCC(CC4)[C@H](C5=C(C=C(C=C5)F)F)F,Active,IC50,17
127024834,C1CC1NC2=NC3=C(C=NC(=C3)C#N)N=C2N4CCC(CC4)[C@H](C5=C(C=C(C=C5)F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,17
90038234,C1CC1NC2=NC3=C(C=NC(=C3)C#N)N=C2N4CCC(CC4)CC5=C(C=C(C=C5)F)F,Active,IC50,15
90038234,C1CC1NC2=NC3=C(C=NC(=C3)C#N)N=C2N4CCC(CC4)CC5=C(C=C(C=C5)F)F,Active,IC50,15
127024159,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)[C@@H](C5=C(C=C(C=C5)F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,24
127024159,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)[C@@H](C5=C(C=C(C=C5)F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,24
127024706,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C(=CC=C5)F)Cl.Cl,Active,IC50,2800
127024706,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C(=CC=C5)F)Cl.Cl,Active,IC50,2800
127024775,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C=C(C=C5F)Cl)F.C(=O)(C(F)(F)F)O,Active,IC50,200
127024775,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C=C(C=C5F)Cl)F.C(=O)(C(F)(F)F)O,Active,IC50,200
127024552,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C=CC(=C5)C#N)F.C(=O)(C(F)(F)F)O,Active,IC50,69
127024552,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C=CC(=C5)C#N)F.C(=O)(C(F)(F)F)O,Active,IC50,69
127024776,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C=CC(=C5)Cl)F.C(=O)(C(F)(F)F)O,Active,IC50,35
127024776,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C=CC(=C5)Cl)F.C(=O)(C(F)(F)F)O,Active,IC50,35
127024705,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C=CC(=C5)F)Cl.C(=O)(C(F)(F)F)O,Active,IC50,62
127024705,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C=CC(=C5)F)Cl.C(=O)(C(F)(F)F)O,Active,IC50,62
127024824,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C=CC(=C5F)F)Cl.C(=O)(C(F)(F)F)O,Active,IC50,3900
127024824,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C=CC(=C5F)F)Cl.C(=O)(C(F)(F)F)O,Active,IC50,3900
90038404,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C=CC=C5Cl)F,Active,IC50,4900
90038404,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C=CC=C5Cl)F,Active,IC50,4900
127024837,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C=CC=C5F)F.C(=O)(C(F)(F)F)O,Active,IC50,2180
127024837,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(C=CC=C5F)F.C(=O)(C(F)(F)F)O,Active,IC50,2180
127024777,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(N=CC=C5)Br.C(=O)(C(F)(F)F)O,Active,IC50,2740
127024777,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=C(N=CC=C5)Br.C(=O)(C(F)(F)F)O,Active,IC50,2740
127024836,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=CC(=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,8390
127024836,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=CC(=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,8390
90038923,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=CC=CC(=C5)C#N,Active,IC50,7210
127024128,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=CC=CC(=C5)C#N.C(=O)(C(F)(F)F)O,Active,IC50,7210
127024592,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=CC=CC=C5Br.C(=O)(C(F)(F)F)O,Active,IC50,78
127024592,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=CC=CC=C5Br.C(=O)(C(F)(F)F)O,Active,IC50,78
127024704,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=CC=CC=C5Cl.C(=O)(C(F)(F)F)O,Active,IC50,67
127024704,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=CC=CC=C5Cl.C(=O)(C(F)(F)F)O,Active,IC50,67
127024825,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=CC=CS5.C(=O)(C(F)(F)F)O,Active,IC50,6750
127024825,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=CC=CS5.C(=O)(C(F)(F)F)O,Active,IC50,6750
127024126,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=CSC(=C5)Cl.Cl,Active,IC50,4810
127024126,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=CSC(=C5)Cl.Cl,Active,IC50,4810
90038340,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=CSC=C5.C(=O)(C(F)(F)F)O,Active,IC50,2290
90038340,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(=O)C5=CSC=C5.C(=O)(C(F)(F)F)O,Active,IC50,2290
90038632,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(C5=C(C=C(C=C5)F)F)(F)F,Active,IC50,16
90038632,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(C5=C(C=C(C=C5)F)F)(F)F,Active,IC50,16
118308672,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(C5=C(C=CC(=C5)Cl)F)(F)F,Active,IC50,46
118308672,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(C5=C(C=CC(=C5)Cl)F)(F)F,Active,IC50,46
118308594,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(C5=C(C=CC(=C5)F)F)F,Active,IC50,20
118308594,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)C(C5=C(C=CC(=C5)F)F)F,Active,IC50,20
155555998,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)CC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,19
155518204,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)OC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,1100
127024774,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)OC5=C(C=C(C=C5F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,170
127024774,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)OC5=C(C=C(C=C5F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,170
127024773,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)OC5=C(C=CC(=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,1100
90038032,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)OC5=CC=C(C=C5)C#N,Active,IC50,1940
90038032,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)OC5=CC=C(C=C5)C#N,Active,IC50,1940
127024465,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)OC5=CC=C(C=C5)Cl.C(=O)(C(F)(F)F)O,Active,IC50,310
127024465,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)OC5=CC=C(C=C5)Cl.C(=O)(C(F)(F)F)O,Active,IC50,310
90038583,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)OC5=CC=CC=C5C#N,Active,IC50,2883
155567731,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)OC5=CC=CC=C5C#N.C(=O)(C(F)(F)F)O,Active,IC50,2883
127024464,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)OC5=CC=CC=C5Cl.C(=O)(C(F)(F)F)O,Active,IC50,1510
127024464,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCC(CC4)OC5=CC=CC=C5Cl.C(=O)(C(F)(F)F)O,Active,IC50,1510
127024453,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCN(CC4)C(=O)C5=CC=C(C=C5)C(F)F.C(=O)(C(F)(F)F)O,Active,IC50,2650
127024453,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCN(CC4)C(=O)C5=CC=C(C=C5)C(F)F.C(=O)(C(F)(F)F)O,Active,IC50,2650
155536861,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCN(CC4)CC5=C(C=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,21
127024345,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,32
127024345,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,32
127024341,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)F.C(=O)(C(F)(F)F)O,Active,IC50,29
127024341,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)F.C(=O)(C(F)(F)F)O,Active,IC50,29
127024454,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)OC(F)F.C(=O)(C(F)(F)F)O,Active,IC50,270
127024454,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)OC(F)F.C(=O)(C(F)(F)F)O,Active,IC50,270
127024728,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,120
127024728,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCN(CC4)CC5=C(C=CC(=C5)F)F.C(=O)(C(F)(F)F)O,Active,IC50,120
127024284,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCN(CC4)CC5=CC(=C(C=C5F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,50
127024284,C1CC1NC2=NC3=C(C=NC=C3)N=C2N4CCN(CC4)CC5=CC(=C(C=C5F)F)F.C(=O)(C(F)(F)F)O,Active,IC50,50
127024149,C1CC1NC2=NC3=C(C=NC=C3N=C2N4CCN(CC4)CC5=C(C=CC(=C5)Cl)Cl)Cl.C(=O)(C(F)(F)F)O,Active,IC50,62
