indication_class,molecule_chembl_id,molecule_type,pref_name
Antineoplastic (DNA topoisomerase I Inhibitor),CHEMBL481,Small molecule,IRINOTECAN
Analgesic (narcotic),CHEMBL70,Small molecule,MORPHINE
"Analgesic (narcotic); Antitussive,Antitussive,Antitussive; Analgesic (narcotic)",CHEMBL485,Small molecule,CODEINE
Anticonvulsant; Sedative-Hypnotic,CHEMBL13209,Small molecule,NITRAZEPAM
,CHEMBL524,Small molecule,METHOXAMINE
Anesthetic (intravenous),CHEMBL526,Small molecule,PROPOFOL
"Anti-Inflammatory,Anti-Inflammatory; Analgesic",CHEMBL527,Small molecule,PIROXICAM
Antibacterial,CHEMBL528,Small molecule,CEFTIZOXIME
Antirheumatic,CHEMBL101,Small molecule,PHENYLBUTAZONE
Antibacterial,CHEMBL529,Small molecule,AZITHROMYCIN
Antibacterial,CHEMBL530,Small molecule,AMDINOCILLIN
Dopamine Agonist,CHEMBL531,Small molecule,PERGOLIDE
Antibacterial,CHEMBL532,Small molecule,ERYTHROMYCIN
Cardiac Depressant (anti-arrhythmic),CHEMBL533,Small molecule,IBUTILIDE
Progestin,CHEMBL103,Small molecule,PROGESTERONE
Anti-Allergic; Anti-Asthmatic,CHEMBL13828,Small molecule,OXATOMIDE
Anti-Asthmatic,CHEMBL534,Small molecule,KETOTIFEN
,CHEMBL535,Small molecule,SUNITINIB
Depigmentor,CHEMBL537,Small molecule,HYDROQUINONE
Pharmaceutic Aid (acidifying agent),CHEMBL539,Small molecule,ACETIC ACID
Pharmaceutic Aid (antifungal agent),CHEMBL541,Small molecule,BENZOIC ACID
"Analgesic,Ultraviolet Screen",CHEMBL542,Small molecule,AMINOBENZOIC ACID
,CHEMBL14053,Small molecule,TRICHLOROACETIC ACID
"Disinfectant,Pharmaceutic Aid (preservative)",CHEMBL14060,Small molecule,PHENOL
,CHEMBL544,Small molecule,MEQUINOL
Antifungal,CHEMBL104,Small molecule,CLOTRIMAZOLE
Antineoplastic,CHEMBL105,Small molecule,MITOMYCIN
"Pharmaceutic Aid (solvent); Anti-Infective, Topical",CHEMBL545,Small molecule,ALCOHOL
Vasodilator (coronary),CHEMBL546,Small molecule,OXPRENOLOL
Antifungal,CHEMBL106,Small molecule,FLUCONAZOLE
Keratolytic,CHEMBL547,Small molecule,ISOTRETINOIN
Antipsychotic,CHEMBL14376,Small molecule,ILOPERIDONE
Oxytocic; Prostaglandin,CHEMBL548,Small molecule,DINOPROSTONE
Cholinergic,CHEMBL278020,Small molecule,NEOSTIGMINE
,CHEMBL14370,Small molecule,REBOXETINE
,CHEMBL549,Small molecule,CITALOPRAM
"Antiglaucoma Agent; Cholinergic (ophthalmic),Cholinergic (ophthalmic)",CHEMBL550,Small molecule,PILOCARPINE
Suppressant (gout),CHEMBL107,Small molecule,COLCHICINE
,CHEMBL553,Small molecule,ERLOTINIB
,CHEMBL554,Small molecule,LAPATINIB
Antipsychotic,CHEMBL15023,Small molecule,TRIFLUPERIDOL
Analgesic; Anticonvulsant,CHEMBL108,Small molecule,CARBAMAZEPINE
,CHEMBL15245,Small molecule,YOHIMBINE
Anticonvulsant,CHEMBL109,Small molecule,VALPROIC ACID
Antibacterial (microbial DNA topoisomerase inhibitor),CHEMBL277100,Small molecule,TEMAFLOXACIN
,CHEMBL110,Small molecule,BENZNIDAZOLE
"Antidote (to iron poisoning); Chelating Agent,Chelating Agent (iron)",CHEMBL556,Small molecule,DEFEROXAMINE
Cardiac Depressant (anti-arrhythmic),CHEMBL558,Small molecule,MEXILETINE
Antihyperlipidemic,CHEMBL559,Small molecule,DEXTROTHYROXINE
,CHEMBL111,Small molecule,RIMONABANT
Antidepressant,CHEMBL273575,Small molecule,NOMIFENSINE
Antibacterial,CHEMBL561,Small molecule,LOMEFLOXACIN
Antifungal,CHEMBL562,Small molecule,GRISEOFULVIN
"Anti-Inflammatory; Analgesic,Inhibitor (prostaglandin synthesis)",CHEMBL563,Small molecule,FLURBIPROFEN
Antipsychotic,CHEMBL564,Small molecule,PROMAZINE
Antihyperlipidemic,CHEMBL565,Small molecule,CLOFIBRATE
Analgesic; Antipyretic,CHEMBL112,Small molecule,ACETAMINOPHEN
Anti-Inflammatory,CHEMBL277522,Small molecule,FENBUFEN
Stimulant (central),CHEMBL113,Small molecule,CAFFEINE
,CHEMBL16073,Small molecule,PHENACETIN
Antipsychotic,CHEMBL567,Small molecule,PERPHENAZINE
Tranquilizer (minor),CHEMBL568,Small molecule,OXAZEPAM
Anti-Inflammatory,CHEMBL15770,Small molecule,SULINDAC
Anti-Inflammatory,CHEMBL15677,Small molecule,FENCLOFENAC
,CHEMBL416898,Small molecule,CHLOROPHENOTHANE
,CHEMBL276520,Small molecule,INDALPINE
Anesthetic (local),CHEMBL569,Small molecule,PROCAINE
Antipsychotic,CHEMBL570,Small molecule,TRIFLUPROMAZINE
Anti-Inflammatory,CHEMBL571,Small molecule,KETOPROFEN
Antibacterial (urinary),CHEMBL572,Small molecule,NITROFURANTOIN
Analgesic; Anti-Inflammatory,CHEMBL15870,Small molecule,INDOPROFEN
Pediculicide; Scabicide,CHEMBL15891,Small molecule,LINDANE
Antiviral,CHEMBL666,Small molecule,FOSCARNET
Vasodilator (peripheral); Cardiac Depressant; Miotic; Cholinergic,CHEMBL667,Small molecule,ACETYLCHOLINE
"Antibacterial,Antiprotozoal (trichomonas)",CHEMBL137,Small molecule,METRONIDAZOLE
Antidepressant,CHEMBL668,Small molecule,PROTRIPTYLINE
Relaxant (muscle),CHEMBL669,Small molecule,CYCLOBENZAPRINE
Antineoplastic,CHEMBL671,Small molecule,THIOTEPA
,CHEMBL672,Small molecule,FENOFIBRATE
Antihypertensive,CHEMBL673,Small molecule,PARGYLINE
,CHEMBL25105,Small molecule,HEXAMIDINE
Bone Resorption Inhibitor,CHEMBL675,Small molecule,ALENDRONATE SODIUM
Adrenergic (vasoconstrictor),CHEMBL677,Small molecule,LEVONORDEFRIN
"Adrenergic (ophthalmic),Adrenergic (vasoconstrictor)",CHEMBL679,Small molecule,EPINEPHRINE
Antibacterial,CHEMBL680,Small molecule,CEFACLOR
Sedative-Hypnotic,CHEMBL681,Small molecule,ETOMIDATE
"Antimalarial,Antiprotozoal",CHEMBL682,Small molecule,AMODIAQUINE
Anthelmintic,CHEMBL684,Small molecule,DIETHYLCARBAMAZINE
Anthelmintic,CHEMBL685,Small molecule,MEBENDAZOLE
Anti-Inflammatory,CHEMBL23588,Small molecule,FLUFENAMIC ACID
Anti-Inflammatory,CHEMBL139,Small molecule,DICLOFENAC
Anti-Inflammatory; Analgesic,CHEMBL686,Small molecule,MEFENAMIC ACID
Analgesic (narcotic),CHEMBL688,Small molecule,FENTANYL CITRATE
,CHEMBL278398,Small molecule,PHENINDAMINE
Diagnostic Aid (renal function determination); Diuretic,CHEMBL689,Small molecule,MANNITOL
Antihyperlipidemic,CHEMBL690,Small molecule,PRAVASTATIN SODIUM
Vasodilator (coronary),CHEMBL24072,Small molecule,PRENYLAMINE
,CHEMBL24171,Small molecule,BERGAPTEN
Estrogen,CHEMBL691,Small molecule,ETHINYL ESTRADIOL
Multiple Sclerosis Symptomatic Treatment,CHEMBL284348,Small molecule,DALFAMPRIDINE
Pharmaceutic Aid (solvent); Pharmaceutic Aid (humectant),CHEMBL692,Small molecule,GLYCERIN
Anticonvulsant,CHEMBL695,Small molecule,TRIMETHADIONE
Anticonvulsant,CHEMBL696,Small molecule,ETHOSUXIMIDE
Anticonvulsant,CHEMBL697,Small molecule,METHSUXIMIDE
"Anesthetic (local),Anesthetic (topical)",CHEMBL698,Small molecule,TETRACAINE
Vasodilator,CHEMBL24441,Small molecule,BETAHISTINE
Suppressant (dermatitis herpetiformis),CHEMBL700,Small molecule,SULFAPYRIDINE
Relaxant (muscle),CHEMBL701,Small molecule,BACLOFEN
Keratolytic,CHEMBL24147,Small molecule,RESORCINOL
Antibacterial,CHEMBL702,Small molecule,PIPERACILLIN
Neuromuscular Blocking Agent,CHEMBL703,Small molecule,SUXAMETHONIUM
Anti-Inflammatory,CHEMBL704,Small molecule,MESALAMINE
,CHEMBL705,Small molecule,ALITRETINOIN
Pharmaceutic Aid (emulsifying and stiffening agent),CHEMBL706,Small molecule,CETYL ALCOHOL
,CHEMBL24778,Small molecule,SILODOSIN
,CHEMBL282468,Small molecule,CHOLINE CHLORIDE
Antihypertensive,CHEMBL707,Small molecule,DOXAZOSIN
Antihypertensive,CHEMBL279516,Small molecule,INDORAMIN
,CHEMBL24828,Small molecule,VANDETANIB
"Antidepressant,Psychotropic",CHEMBL278819,Small molecule,MINAPRINE
Antipsychotic,CHEMBL708,Small molecule,ZIPRASIDONE
Antihypertensive (alpha-blocker),CHEMBL709,Small molecule,ALFUZOSIN
Inhibitor (alpha reductase),CHEMBL710,Small molecule,FINASTERIDE
,CHEMBL711,Small molecule,PHENINDIONE
,CHEMBL712,Small molecule,ANISINDIONE
,CHEMBL24924,Small molecule,FLUINDIONE
,CHEMBL713,Small molecule,ENTECAVIR
Antiviral,CHEMBL141,Small molecule,LAMIVUDINE
Bronchodilator,CHEMBL714,Small molecule,ALBUTEROL
Antipsychotic,CHEMBL715,Small molecule,OLANZAPINE
Antipsychotic,CHEMBL716,Small molecule,QUETIAPINE
,CHEMBL285802,Small molecule,ZOTEPINE
Tranquilizer (minor),CHEMBL28333,Small molecule,MEDAZEPAM
Progestin,CHEMBL717,Small molecule,MEDROXYPROGESTERONE ACETATE
Antipsychotic,CHEMBL28218,Small molecule,BROMPERIDOL
Antibacterial (topical),CHEMBL719,Small molecule,MUPIROCIN
Pharmaceutic Aid (antimicrobial agent),CHEMBL720,Small molecule,BENZYL ALCOHOL
Anti-Adrenergic (beta-receptor),CHEMBL27810,Small molecule,CELIPROLOL
,CHEMBL434200,Small molecule,TERTATOLOL
Antihypertensive; Anti-Anginal,CHEMBL723,Small molecule,CARVEDILOL
Antipsychotic,CHEMBL726,Small molecule,FLUPHENAZINE
Antineoplastic,CHEMBL727,Small molecule,THIOGUANINE
Anti-Adrenergic (beta-receptor); Antihypertensive,CHEMBL27193,Small molecule,DILEVALOL
"Anti-Emetic,Anti-Emetic; Antipsychotic,Antipsychotic; Anti-Emetic",CHEMBL728,Small molecule,PROCHLORPERAZINE
,CHEMBL729,Small molecule,LOPINAVIR
Vasodilator (coronary),CHEMBL730,Small molecule,NITROGLYCERIN
,CHEMBL30116,Small molecule,PIPEMIDIC ACID
Enzyme Inhibitor (urease),CHEMBL734,Small molecule,ACETOHYDROXAMIC ACID
Vasodilator (coronary),CHEMBL284906,Small molecule,NICORANDIL
Relaxant (smooth muscle),CHEMBL282121,Small molecule,MEBEVERINE
Anesthetic (intravenous); Anticonvulsant,CHEMBL738,Small molecule,THIOPENTAL SODIUM
Pharmaceutic Aid (stabilizer),CHEMBL29411,Small molecule,THYMOL
Anesthetic (intravenous),CHEMBL30219,Small molecule,METHOHEXITAL SODIUM
Anticonvulsant,CHEMBL741,Small molecule,LAMOTRIGINE
Vasodilator,CHEMBL30008,Small molecule,FLUNARIZINE
Anesthetic,CHEMBL742,Small molecule,KETAMINE
Amyotrophic Lateral Sclerosis Treatment,CHEMBL744,Small molecule,RILUZOLE
Anti-Allergic (prophylactic),CHEMBL746,Small molecule,NEDOCROMIL
Cholinesterase Reactivator,CHEMBL748,Small molecule,PRALIDOXIME CHLORIDE
,CHEMBL282575,Small molecule,ESTRADIOL BENZOATE
Anticonvulsant,CHEMBL750,Small molecule,ZONISAMIDE
Analgesic,CHEMBL751,Small molecule,BROMFENAC SODIUM
Nutrient,CHEMBL752,Small molecule,ADENOSINE PHOSPHATE
Antihypertensive,CHEMBL753,Small molecule,PHENOXYBENZAMINE
Antiviral,CHEMBL754,Small molecule,FOSCARNET SODIUM
Antithrombotic,CHEMBL760,Small molecule,ANAGRELIDE
Adrenergic (vasoconstrictor),CHEMBL761,Small molecule,NAPHAZOLINE
Adrenergic (vasoconstrictor),CHEMBL762,Small molecule,OXYMETAZOLINE
Antihypertensive,CHEMBL765,Small molecule,GUANETHIDINE
Enzyme Inhibitor,CHEMBL766,Small molecule,CILASTATIN
Anti-Adrenergic (beta-receptor),CHEMBL768,Small molecule,ESMOLOL
Vasodilator (peripheral),CHEMBL770,Small molecule,TOLAZOLINE
Antibacterial (tuberculostatic),CHEMBL771,Small molecule,CYCLOSERINE
Antibacterial,CHEMBL148,Small molecule,IMIPENEM
Antihypertensive,CHEMBL772,Small molecule,RESERPINE
,CHEMBL773,Small molecule,GLYCINE
Bronchodilator,CHEMBL776,Small molecule,METAPROTERENOL
Inhibitor (beta-lactamase),CHEMBL777,Small molecule,CLAVULANIC ACID
Tranquilizer,CHEMBL778,Small molecule,DEXMEDETOMIDINE
,CHEMBL779,Small molecule,TADALAFIL
Analgesic; Antitussive,CHEMBL33986,Small molecule,BUTORPHANOL
"Chelating Agent (plutonium),Diagnostic Aid",CHEMBL780,Small molecule,PENTETIC ACID
Anorexic,CHEMBL781,Small molecule,MAZINDOL
"Anti-Infective, Topical",CHEMBL290106,Small molecule,BITHIONOL
"Antidiabetic,Diagnostic Aid (diabetes)",CHEMBL782,Small molecule,TOLBUTAMIDE
,CHEMBL783,Small molecule,NATEGLINIDE
,CHEMBL33864,Small molecule,"LIPOIC ACID, ALPHA"
Anti-Estrogen,CHEMBL786,Small molecule,TAMOXIFEN CITRATE
Anti-Asthmatic (leukotriene antagonist),CHEMBL787,Small molecule,MONTELUKAST
Antiviral (ophthalmic),CHEMBL788,Small molecule,IDOXURIDINE
Antibacterial,CHEMBL36506,Small molecule,NOVOBIOCIN
Antiviral,CHEMBL152,Small molecule,CIDOFOVIR
"Anti-Infective, Topical,Antibacterial,Antimicrobial",CHEMBL790,Small molecule,CHLORHEXIDINE
Bronchodilator,CHEMBL32800,Small molecule,FENOTEROL
Stimulant (central),CHEMBL796,Small molecule,METHYLPHENIDATE
Sedative-Hypnotic,CHEMBL285674,Small molecule,ESTAZOLAM
Anticonvulsant,CHEMBL797,Small molecule,PHENSUXIMIDE
Antineoplastic,CHEMBL34259,Small molecule,METHOTREXATE
Inhibitor (platelet); Vasodilator; Antithrombotic,CHEMBL799,Small molecule,CILOSTAZOL
Hair Growth Stimulant (topical); Antihypertensive,CHEMBL802,Small molecule,MINOXIDIL
"Anti-Inflammatory; Antipyretic; Analgesic,Antipyretic; Anti-Inflammatory; Analgesic",CHEMBL154,Small molecule,NAPROXEN
Antimalarial,CHEMBL416956,Small molecule,MEFLOQUINE
"Antiviral,Antiviral; Antineoplastic",CHEMBL803,Small molecule,CYTARABINE
,CHEMBL806,Small molecule,FLUTAMIDE
,CHEMBL807,Small molecule,MEMANTINE
Antifungal,CHEMBL808,Small molecule,ECONAZOLE
Antidepressant,CHEMBL809,Small molecule,SERTRALINE
Cognition Adjuvant,CHEMBL36715,Small molecule,PIRACETAM
,CHEMBL810,Small molecule,TEMOZOLOMIDE
,CHEMBL37390,Small molecule,PROXYPHYLLINE
,CHEMBL1015,Small molecule,EVANS BLUE
Antagonist (angiotensin II receptor); Antihypertensive,CHEMBL1017,Small molecule,TELMISARTAN
Estrogen,CHEMBL1018,Small molecule,DIENESTROL
,CHEMBL75435,Small molecule,DEXKETOPROFEN
,CHEMBL73234,Small molecule,CARBETAPENTANE
Anti-Inflammatory,CHEMBL1020,Small molecule,TOLMETIN
,CHEMBL1021,Small molecule,NEPAFENAC
Vasodilator (coronary),CHEMBL75880,Small molecule,PERHEXILINE
,CHEMBL1023,Small molecule,BEXAROTENE
Antineoplastic,CHEMBL1024,Small molecule,IFOSFAMIDE
Cholinergic (ophthalmic),CHEMBL1025,Small molecule,ISOFLUROPHATE
,CHEMBL307145,Small molecule,PYROGALLOL
Dopamine Agonist; Antihypertensive,CHEMBL1026,Small molecule,FENOLDOPAM MESYLATE
Anticonvulsant,CHEMBL1027,Small molecule,TIAGABINE
,CHEMBL76370,Small molecule,TEGASEROD
,CHEMBL431770,Small molecule,ISTRADEFYLLINE
Stimulant (cardiac),CHEMBL75753,Small molecule,XAMOTEROL
,CHEMBL1029,Small molecule,MIGLUSTAT
Cardiovascular Agent,CHEMBL77622,Small molecule,DOPEXAMINE
Anti-Inflammatory,CHEMBL1034,Small molecule,DICLOFENAC SODIUM
Antihypertensive,CHEMBL1037,Small molecule,GUANADREL
Regulator (calcium),CHEMBL1040,Small molecule,CALCIFEDIOL
Vitamin (antirachitic),CHEMBL1042,Small molecule,CHOLECALCIFEROL
Antibacterial (leprostatic); Suppressant (dermatitis herpetiformis),CHEMBL1043,Small molecule,DAPSONE
Hemostatic,CHEMBL1046,Small molecule,AMINOCAPROIC ACID
,CHEMBL421701,Small molecule,DITHIAZANINE IODIDE
,CHEMBL311498,Small molecule,CIANIDANOL
Antiglaucoma Agent,CHEMBL1051,Small molecule,LATANOPROST
Antifungal,CHEMBL83668,Small molecule,TOLNAFTATE
Diuretic; Antihypertensive,CHEMBL1054,Small molecule,TRICHLORMETHIAZIDE
Diuretic,CHEMBL1055,Small molecule,CHLORTHALIDONE
Anticonvulsant,CHEMBL1059,Small molecule,PREGABALIN
"Diagnostic Aid (neoplasm); Antineoplastic; Radioactive Agent; Antipolycythemic,Laxative",CHEMBL1060,Small molecule,SODIUM PHOSPHATE
Antihyperlipidemic,CHEMBL1064,Small molecule,SIMVASTATIN
,CHEMBL83063,Small molecule,RITODRINE
,CHEMBL1068,Small molecule,OXCARBAZEPINE
Antihypertensive,CHEMBL1069,Small molecule,VALSARTAN
Cardiac Depressant (anti-arrhythmic),CHEMBL315838,Small molecule,ENCAINIDE
,CHEMBL86882,Small molecule,ETILEFRINE
Antidepressant,CHEMBL86304,Small molecule,MOCLOBEMIDE
,CHEMBL85231,Small molecule,MEDIFOXAMINE
Anti-Inflammatory,CHEMBL1070,Small molecule,NABUMETONE
Anti-Inflammatory,CHEMBL1071,Small molecule,OXAPROZIN
Analgesic,CHEMBL314437,Small molecule,MEPTAZINOL
Antiparkinsonian; Relaxant (skeletal muscle),CHEMBL86715,Small molecule,PROCYCLIDINE
Diuretic,CHEMBL1072,Small molecule,BUMETANIDE
Antidiabetic,CHEMBL1073,Small molecule,GLIPIZIDE
Antidepressant,CHEMBL87708,Small molecule,LOFEPRAMINE
Anorexic,CHEMBL87493,Small molecule,FENFLURAMINE
,CHEMBL315795,Small molecule,CLOMETHIAZOLE
,CHEMBL315985,Small molecule,ESLICARBAZEPINE
Cardiac Depressant (anti-arrhythmic),CHEMBL1075,Small molecule,MORICIZINE
,CHEMBL87992,Small molecule,ESLICARBAZEPINE ACETATE
,CHEMBL88055,Small molecule,RIMITEROL
Analgesic,CHEMBL1077,Small molecule,BROMFENAC
Antispasmodic,CHEMBL1079,Small molecule,TIZANIDINE
Anticonvulsant (tardive dyskinesia),CHEMBL89598,Small molecule,VIGABATRIN
Antineoplastic,CHEMBL90555,Small molecule,VINCRISTINE
Antibacterial,CHEMBL1082,Small molecule,AMOXICILLIN
,CHEMBL313972,Small molecule,MASOPROCOL
,CHEMBL314854,Small molecule,FINGOLIMOD
Antipsychotic,CHEMBL1085,Small molecule,ACETOPHENAZINE
Anesthetic (local),CHEMBL1086,Small molecule,DIBUCAINE
Anesthetic (local),CHEMBL1087,Small molecule,MEPIVACAINE
Antipsychotic,CHEMBL1088,Small molecule,MESORIDAZINE
Antidepressant,CHEMBL1089,Small molecule,PHENELZINE
Antiviral,CHEMBL1090,Small molecule,VIDARABINE
,CHEMBL90593,Small molecule,PRASTERONE
Glucocorticoid,CHEMBL1091,Small molecule,HYDROCORTISONE ACETATE
Anticholinergic; Antiparkinsonian,CHEMBL1092,Small molecule,TRIHEXYPHENIDYL HYDROCHLORIDE
,CHEMBL1093,Small molecule,ARTICAINE
Anti-Epileptic,CHEMBL1094,Small molecule,FELBAMATE
Anticonvulsant,CHEMBL1095,Small molecule,ETHOTOIN
Anti-Allergic,CHEMBL1096,Small molecule,AMLEXANOX
,CHEMBL93645,Small molecule,ACECLOFENAC
