,cid,smiles,bioactivity,type,value (nM),pIC50
30,90039456,N#Cc1cc2nc(NC3CC3)c(N3CCC([C@@H](F)c4ccc(F)cc4F)CC3)nc2cn1,Active,IC50,17.0,7.769551078621726
31,127024834,N#Cc1cc2nc(NC3CC3)c(N3CCC([C@@H](F)c4ccc(F)cc4F)CC3)nc2cn1.O=C(O)C(F)(F)F,Active,IC50,17.0,7.769551078621726
32,127024293,Fc1ccc(OC2CCN(c3nc4cnncc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,18.0,7.7447274948966935
33,127024294,Cc1nccc2nc(NC3CC3)c(N3CCC(Oc4ccc(F)cc4F)CC3)nc12.O=C(O)C(F)(F)F,Active,IC50,18.0,7.7447274948966935
34,155555998,Fc1ccc(CC2CCN(c3nc4cnccc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,19.0,7.721246399047171
35,127024832,Fc1ccc(CC2CCN(c3nc4ccccc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,19.0,7.721246399047171
36,118308594,Fc1ccc(F)c(C(F)C2CCN(c3nc4cnccc4nc3NC3CC3)CC2)c1,Active,IC50,20.0,7.698970004336019
37,90037662,CC(C)Nc1nc2cnccc2nc1N1CCC(Oc2ccc(F)cc2F)CC1,Active,IC50,20.0,7.698970004336019
38,127024735,Cc1cc2nc(NC3CC3)c(N3CCC(Cc4ccc(F)cc4F)CC3)nc2cn1.O=C(O)C(F)(F)F,Active,IC50,20.0,7.698970004336019
39,127024291,COc1ccc(OC2CCN(c3nc4cnncc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,20.0,7.698970004336019
40,155536861,Fc1ccc(CN2CCN(c3nc4cnccc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,21.0,7.6777807052660805
41,127024452,CC(C)Nc1nc2cnccc2nc1N1CCC(Oc2ccc(F)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,21.0,7.6777807052660805
42,127024503,CC[C@H](C)Nc1nc2cnncc2nc1N1CCC(Oc2ccc(OC)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,21.0,7.6777807052660805
43,155553228,COc1ccc(C(=O)C2CCN(c3nc4cnccc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,21.0,7.6777807052660805
44,127024639,Fc1ccc([C@H](F)C2CCN(c3nc4cnncc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,22.0,7.657577319177793
45,122420746,O=C(c1cc2nc(NC3CC3)c(N3CCC([C@@H](F)c4ccc(F)cc4F)CC3)nc2cn1)N1CCC1,Active,IC50,22.0,7.657577319177793
46,127024446,O=C(O)C(F)(F)F.O=C(c1cc2nc(NC3CC3)c(N3CCC([C@@H](F)c4ccc(F)cc4F)CC3)nc2cn1)N1CCC1,Active,IC50,22.0,7.657577319177793
47,90039351,O=C(c1cc2nc(NC3CC3)c(N3CCC([C@H](F)c4ccc(F)cc4F)CC3)nc2cn1)N1CCC1,Active,IC50,23.0,7.638272163982407
48,127024606,N#Cc1ccc2nc(NC3CC3)c(N3CCC(C(F)c4ccc(F)cc4F)CC3)nc2c1.O=C(O)C(F)(F)F,Active,IC50,24.0,7.619788758288394
49,118308533,N#Cc1cc2nc(N3CCC([C@@H](F)c4ccc(F)cc4F)CC3)c(NC3CC3)nc2cn1,Active,IC50,24.0,7.619788758288394
50,127024159,Fc1ccc([C@@H](F)C2CCN(c3nc4cnccc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,24.0,7.619788758288394
51,127024593,O=C(c1cc2nc(NC3CC3)c(N3CCC([C@@H](F)c4ccc(F)cc4F)CC3)nc2cn1)N1CCC1F,Active,IC50,26.0,7.585026652029182
52,127024594,Fc1ccc([C@@H](F)C2CCN(c3nc4cnncc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,26.0,7.585026652029182
53,127024116,COc1ccc(CC2CCN(c3nc4cnc(C#N)cc4nc3NC(C)C)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,26.0,7.585026652029182
54,127024823,Fc1ccc(CC2CCN(c3nc4ccncc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,27.0,7.568636235841012
55,127024469,CC(C)Nc1nc2cc(C#N)ncc2nc1N1CCC(C(=O)c2cc(F)cc(F)c2)CC1.O=C(O)C(F)(F)F,Active,IC50,28.0,7.552841968657781
56,127024288,N#Cc1ccc2nc(N3CCC(C(F)c4ccc(F)cc4F)CC3)c(NC3CC3)nc2c1.O=C(O)C(F)(F)F,Active,IC50,29.0,7.537602002101044
57,127024341,Fc1ccc(Cl)cc1CN1CCN(c2nc3cnccc3nc2NC2CC2)CC1.O=C(O)C(F)(F)F,Active,IC50,29.0,7.537602002101044
58,127024110,Fc1ccc([C@@H](F)C2CCN(c3nc4cnc(Cl)cc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,29.0,7.537602002101044
59,127024158,Fc1ccc(C(F)C2CCN(c3nc4cnc(Br)cc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,29.0,7.537602002101044
60,127024696,CC(C)Nc1nc2cnccc2nc1N1CCC(C(F)c2ccc(F)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,29.0,7.537602002101044
61,127024456,COc1cc2nc(NC3CC3)c(N3CCC(Cc4ccc(F)cc4F)CC3)nc2cn1.O=C(O)C(F)(F)F,Active,IC50,29.0,7.537602002101044
62,90038509,Fc1cc(Cl)ccc1OC1CCN(c2nc3cnncc3nc2NC2CC2)CC1.O=C(O)C(F)(F)F,Active,IC50,30.0,7.522878745280337
63,127024564,CC[C@@H](C)Nc1nc2cnncc2nc1N1CCC(Oc2ccc(OC)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,30.0,7.522878745280337
64,127024289,COCCNc1nc2ccncc2nc1N1CCC(Cc2ccc(F)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,30.0,7.522878745280337
65,90037926,Fc1ccc(CC2CCN(c3nc4cnc(Cl)cc4nc3NC3CC3)CC2)c(F)c1,Active,IC50,31.0,7.508638306165727
66,155512341,Cc1nncc2nc(N3CCC(Oc4ccc(F)cc4F)CC3)c(NC(C)C)nc12.O=C(O)C(F)(F)F,Active,IC50,31.0,7.508638306165727
67,127024345,Clc1ccc(Cl)c(CN2CCN(c3nc4cnccc4nc3NC3CC3)CC2)c1.O=C(O)C(F)(F)F,Active,IC50,32.0,7.494850021680094
68,127024776,O=C(O)C(F)(F)F.O=C(c1cc(Cl)ccc1F)C1CCN(c2nc3cnccc3nc2NC2CC2)CC1,Active,IC50,35.0,7.455931955649724
69,118308624,COc1ccc(OC2CCN(c3nc4cnncc4nc3NC3CC3)CC2)c(F)c1,Active,IC50,36.0,7.443697499232712
70,127024402,CCNc1nc2cnccc2nc1N1CCC(Oc2ccc(OC)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,39.0,7.4089353929735005
71,127024563,CC(C)Nc1nc2cc(C(=O)N(C)C)ncc2nc1N1CCN(Cc2ccc(F)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,40.0,7.3979400086720375
72,155525846,COc1ccc(C(=O)C2CCN(c3nc4c(C#N)nccc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,43.0,7.366531544420414
73,127024302,COc1cccc(CN2CCN(c3nc4cnncc4nc3NC(C)C)CC2)c1.O=C(O)C(F)(F)F,Active,IC50,44.0,7.356547323513812
74,127024604,COc1ccc(OC2CCN(c3nc4ccncc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,44.0,7.356547323513812
75,90038494,N#Cc1cc2nc(N3CCC([C@H](F)c4ccc(F)cc4F)CC3)c(NC3CC3)nc2cn1,Active,IC50,45.0,7.346787486224656
76,118308547,Cc1nccc2nc(NC3CC3)c(N3CCC(C(F)(F)c4cc(F)ccc4F)CC3)nc12,Active,IC50,45.0,7.346787486224656
77,118308672,Fc1ccc(Cl)cc1C(F)(F)C1CCN(c2nc3cnccc3nc2NC2CC2)CC1,Active,IC50,46.0,7.337242168318426
78,122420743,CC(C)Nc1nc2ccc(C#N)cc2nc1N1CCC([C@@H](F)c2ccc(F)cc2F)CC1,Active,IC50,49.0,7.309803919971486
79,127024284,Fc1cc(F)c(CN2CCN(c3nc4cnccc4nc3NC3CC3)CC2)cc1F.O=C(O)C(F)(F)F,Active,IC50,50.0,7.301029995663981
80,155532393,CC(C)Nc1nc2ccccc2nc1N1CCC(Oc2ccc(Cl)cc2F)CC1.Cl,Active,IC50,51.0,7.292429823902063
81,127024451,O=C(O)C(F)(F)F.Oc1ccc(OC2CCN(c3nc4ccncc4nc3NC3CC3)CC2)c(F)c1,Active,IC50,54.0,7.267606240177031
82,127024343,COc1ccc(C(=O)C2CCN(c3nc4cnncc4nc3NC(C)C)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,54.0,7.267606240177031
83,90038218,COc1ccc(OC2CCN(c3nc4c(C(=O)N(C)C)nccc4nc3NC3CC3)CC2)c(F)c1,Active,IC50,54.0,7.267606240177031
84,155563953,CN1CCN(C(=O)c2cc3nc(NC4CC4)c(N4CCC(C(=O)c5cc(C#N)ccc5F)CC4)nc3cn2)CC1.O=C(O)C(F)(F)F,Active,IC50,54.0,7.267606240177031
85,127024449,Clc1ccc(Cl)c(CN2CCN(c3nc4ccncc4nc3NC3CC3)CC2)c1.O=C(O)C(F)(F)F,Active,IC50,56.0,7.251811972993799
86,90038968,Cc1nnc(C)c2nc(N3CCC(Oc4ccc(F)cc4F)CC3)c(NC(C)C)nc12.O=C(O)C(F)(F)F,Active,IC50,60.0,7.221848749616356
87,127024705,O=C(O)C(F)(F)F.O=C(c1cc(F)ccc1Cl)C1CCN(c2nc3cnccc3nc2NC2CC2)CC1,Active,IC50,62.0,7.207608310501746
88,127024149,Clc1ccc(Cl)c(CN2CCN(c3nc4cncc(Cl)c4nc3NC3CC3)CC2)c1.O=C(O)C(F)(F)F,Active,IC50,62.0,7.207608310501746
89,155534644,Fc1ccc(F)c(CN2CCN(c3nc4cncc(Cl)c4nc3NC3CC3)CC2)c1.O=C(O)C(F)(F)F,Active,IC50,62.0,7.207608310501746
90,127024463,N#Cc1ccc2nc(NC3CC3)c(N3CCC(Cc4ccc(F)cc4F)CC3)nc2c1.O=C(O)C(F)(F)F,Active,IC50,64.0,7.1938200260161125
91,127024566,CN(C)C(=O)c1cc2nc(NCC(F)F)c(N3CCC(Oc4ccc(F)cc4F)CC3)nc2cn1.O=C(O)C(F)(F)F,Active,IC50,65.0,7.187086643357144
92,127024694,N#Cc1nccc2nc(NC3CC3)c(N3CCN(Cc4ccc(F)cc4F)CC3)nc12.O=C(O)C(F)(F)F,Active,IC50,66.0,7.180456064458131
93,127024704,O=C(O)C(F)(F)F.O=C(c1ccccc1Cl)C1CCN(c2nc3cnccc3nc2NC2CC2)CC1,Active,IC50,67.0,7.173925197299173
94,127024552,N#Cc1ccc(F)c(C(=O)C2CCN(c3nc4cnccc4nc3NC3CC3)CC2)c1.O=C(O)C(F)(F)F,Active,IC50,69.0,7.161150909262744
95,90038811,N#Cc1ccc2nc(NCC(F)F)c(N3CCC(Cc4ccc(F)cc4F)CC3)nc2c1,Active,IC50,71.0,7.1487416512809245
96,127024559,Fc1ccc(CC2CCN(c3nc4cc(F)ccc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,72.0,7.142667503568731
97,127024253,CC(C)Nc1nc2cnncc2nc1N1CCC(Oc2ccc(C#N)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,72.0,7.142667503568731
98,127024736,N#Cc1ccc2nc(NC3CC3)c(N3CCC(C(F)c4cc(F)ccc4F)CC3)nc2c1.O=C(O)C(F)(F)F,Active,IC50,75.0,7.1249387366083
99,127024592,O=C(O)C(F)(F)F.O=C(c1ccccc1Br)C1CCN(c2nc3cnccc3nc2NC2CC2)CC1,Active,IC50,78.0,7.107905397309519
100,90037616,Fc1ccc(CC2CCN(c3nc4ccncc4nc3NCC(F)F)CC2)c(F)c1,Active,IC50,78.0,7.107905397309519
101,122420763,CC(C)Nc1nc2ccc(C#N)cc2nc1N1CCC([C@H](F)c2ccc(F)cc2F)CC1,Active,IC50,82.0,7.086186147616283
102,122420758,CC(C)Nc1nc2ccc(C#N)cc2nc1N1CCC([C@H](F)c2cc(F)ccc2F)CC1,Active,IC50,82.0,7.086186147616283
103,127024400,COc1ccc(CN2CCN(c3nc4c(C#N)nccc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,88.0,7.055517327849831
104,90038387,N#Cc1ccc(Cl)c(C(=O)C2CCN(c3nc4cnc(Cl)cc4nc3NC3CC3)CC2)c1,Active,IC50,89.0,7.050609993355087
105,127024693,N#Cc1ccc2nc(NC3CC3)c(N3CCC(Oc4ccc(F)cc4F)CC3)nc2c1.O=C(O)C(F)(F)F,Active,IC50,90.0,7.045757490560675
106,127024501,N#Cc1ccc(OC2CCN(c3nc4cnncc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,90.0,7.045757490560675
107,127024640,COc1ccc(CN2CCN(c3nc4cnc(N5CCOCC5)cc4nc3NC3CC3)CC2)c(F)c1,Active,IC50,92.0,7.036212172654444
108,155523116,COc1ccc(CN2CCN(c3nc4cnc(N5CCOCC5)cc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,92.0,7.036212172654444
109,90038064,Cc1cc2nc(NC3CC3)c(N3CCC(S(=O)(=O)c4ccc(F)cc4)CC3)nc2cn1.O=C(O)C(F)(F)F,Active,IC50,93.0,7.031517051446065
110,127024146,N#Cc1ccc2nc(NC3CC(=O)C3)c(N3CCN(Cc4cc(Cl)ccc4Cl)CC3)nc2c1.O=C(O)C(F)(F)F,Active,IC50,97.0,7.013228265733755
111,127024457,CC(C)Nc1nc2ccc(C#N)cc2nc1N1CCC(C(F)c2cc(F)ccc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,98.0,7.008773924307505
112,155525944,COc1ccc(OC2CCN(c3nc4c(N5CCOCC5)nccc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,114.0,6.943095148663527
113,127024728,Fc1ccc(F)c(CN2CCN(c3nc4cnccc4nc3NC3CC3)CC2)c1.O=C(O)C(F)(F)F,Active,IC50,120.0,6.920818753952375
114,127024455,Fc1ccc(F)c(CN2CCN(c3nc4ccncc4nc3NC3CC3)CC2)c1.O=C(O)C(F)(F)F,Active,IC50,140.0,6.853871964321762
115,127024737,Fc1ccc(CC2CCN(c3nc4cc(F)c(F)cc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,140.0,6.853871964321762
116,9966125,O=C(NC(=S)N1CCNC1=S)c1ccc(F)cc1F,Active,IC50,140.0,6.853871964321762
117,127024157,C[C@@H]1C[C@H]1Nc1nc2cnncc2nc1N1CCC([C@@H](F)c2ccc(F)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,145.0,6.838631997765026
118,155529253,CC1CC1Nc1nc2cnncc2nc1N1CCC([C@@H](F)c2ccc(F)cc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,145.0,6.838631997765026
119,127024779,CSc1ccc(OC2CCN(c3nc4cnccc4nc3NC3CC3)CC2)cc1.O=C(O)C(F)(F)F,Active,IC50,146.0,6.835647144215563
120,127024296,N#Cc1ccc2nc(NCCC(F)(F)F)c(N3CCC(Oc4ccc(F)cc4F)CC3)nc2c1.O=C(O)C(F)(F)F,Active,IC50,160.0,6.795880017344075
121,9966813,O=C(N=C1SSC2=NCCN21)c1cc2ccccc2s1,Active,IC50,160.0,6.795880017344075
122,127024774,Fc1cc(F)c(OC2CCN(c3nc4cnccc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,170.0,6.769551078621726
123,10267726,O=C(N=C1SSC2=NCCN21)c1ccc2ccccc2c1,Active,IC50,170.0,6.769551078621726
124,9921301,O=C(N=C1SSC2=NCCN21)c1ccco1,Active,IC50,180.0,6.7447274948966935
125,10224726,O=C(N=C1SSC2=NCCN21)c1cnn(-c2ccc(Cl)cc2)c1C(F)(F)F,Active,IC50,189.7,6.721932669111338
126,118308644,COc1ccc(OC2CCN(c3nc4cnccc4nc3NC3CC3)CC2)cc1,Active,IC50,190.0,6.721246399047171
127,127024775,O=C(O)C(F)(F)F.O=C(c1c(F)cc(Cl)cc1F)C1CCN(c2nc3cnccc3nc2NC2CC2)CC1,Active,IC50,200.0,6.698970004336019
128,9878257,O=C(N=C1SSC2=NCCN21)c1ccno1,Active,IC50,215.0,6.667561540084394
129,9856955,O=C(N=C1SSC2=NCCN21)c1ccccc1F,Active,IC50,225.0,6.647817481888637
130,127024191,Fc1ccc(CN2CCN(c3nc4ccncc4nc3NCC(F)F)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,230.0,6.638272163982407
131,9856954,O=C(N=C1SSC2=NCCN21)c1cccc(F)c1,Active,IC50,230.0,6.638272163982407
132,90038545,N#Cc1ccc2nc(NC3CC3)c(N3CCN(Cc4cc(Cl)ccc4Cl)CC3)nc2c1,Active,IC50,250.0,6.6020599913279625
133,90038615,COCCNc1nc2ccc(C#N)cc2nc1N1CCC(Cc2ccc(F)cc2F)CC1,Active,IC50,250.0,6.6020599913279625
134,127024759,Fc1ccc(CN2CCN(c3nc4cnncc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,Active,IC50,260.0,6.585026652029182
135,9860209,O=C(N=C1SSC2=NCCN21)c1cccs1,Active,IC50,260.0,6.585026652029182
136,127024454,FC(F)Oc1ccc(Cl)cc1CN1CCN(c2nc3cnccc3nc2NC2CC2)CC1.O=C(O)C(F)(F)F,Active,IC50,270.0,6.568636235841012
137,127024468,CC(C)Nc1cc(Cl)cc(C(=O)C2CCN(c3nc4ccc(C#N)cc4nc3NC(C)C)CC2)c1,Active,IC50,276.0,6.559090917934782
138,9965548,O=C(N=C1SSC2=NCCN21)c1ccc(F)cc1,Active,IC50,285.0,6.54515513999149
139,10267725,O=C(N=C1SSC2=NCCN21)c1cccc2ccccc12,Active,IC50,290.0,6.537602002101044
140,90037932,N#Cc1ccc2nc(NC3CCC3)c(N3CCN(C(=O)c4ccc(Cl)cc4)CC3)nc2c1,Active,IC50,300.0,6.522878745280337
141,9966063,O=C(N=C1SSC2=NCCN21)c1ccc(F)cc1F,Active,IC50,300.0,6.522878745280337
142,5142438,O=C(N=C1SSC2=NCCN21)c1ccccc1,Active,IC50,305.0,6.515700160653214
143,127024465,Clc1ccc(OC2CCN(c3nc4cnccc4nc3NC3CC3)CC2)cc1.O=C(O)C(F)(F)F,Active,IC50,310.0,6.508638306165727
144,155559864,CC(C)Nc1nc2ccc(C#N)cc2nc1N1CCN(Cc2cc(Cl)ccc2Cl)CC1.O=C(O)C(F)(F)F,Active,IC50,310.0,6.508638306165727
145,127024727,CC(C)Nc1nc2ccc(C#N)cc2nc1N1CCN(Cc2cc(F)ccc2F)CC1.O=C(O)C(F)(F)F,Active,IC50,310.0,6.508638306165727
146,127024282,N#Cc1ccc2nc(N3CCN(C(=O)c4ccc(Cl)cc4)CC3)c(NC3CC3)nc2c1.O=C(O)C(F)(F)F,Active,IC50,340.0,6.468521082957745
147,90037804,COCCNc1nc2ccc(C#N)cc2nc1N1CCC(C(F)c2ccc(F)cc2F)CC1,Active,IC50,340.0,6.468521082957745
148,9965902,COc1cccc(C(=O)N=C2SSC3=NCCN32)c1,Active,IC50,355.0,6.449771646944906
149,9967340,O=C(N=C1SSC2=NCCN21)c1ccc(C(F)(F)F)cc1,Active,IC50,370.0,6.431798275933005
150,127024688,N#Cc1ccc2nc(NC3CC3)c(N3CCN(Cc4cc(F)ccc4F)CC3)nc2c1.O=C(O)C(F)(F)F,Active,IC50,380.0,6.42021640338319
151,127024283,Cc1ccc(C)c(CN2CCN(c3nc4cnccc4nc3NC3CC3)CC2)c1.O=C(O)C(F)(F)F,Active,IC50,380.0,6.42021640338319
152,90038529,Cc1nccc2nc(NC3CC3)c(N3CCC(Cn4ccc(F)cc4=O)CC3)nc12,Active,IC50,380.0,6.42021640338319
153,155569123,Cc1nccc2nc(NC3CC3)c(N3CCC(Cn4ccc(F)cc4=O)CC3)nc12.O=C(O)C(F)(F)F,Active,IC50,380.0,6.42021640338319
154,127024833,N#Cc1ccc2nc(Nc3cccnc3)c(N3CCC(Cc4ccc(F)cc4F)CC3)nc2c1.O=C(O)C(F)(F)F,Active,IC50,390.0,6.4089353929735005
155,127024220,N#Cc1ccc2nc(NCCC(F)(F)F)c(N3CCN(Cc4ccc(F)cc4F)CC3)nc2c1.O=C(O)C(F)(F)F,Active,IC50,390.0,6.4089353929735005
156,127024758,Fc1cc(F)c(CN2CCN(c3nc4ccncc4nc3Nc3cccnc3)CC2)cc1F.O=C(O)C(F)(F)F,Active,IC50,400.0,6.3979400086720375
157,9835042,O=C(N=C1SSC2=NCCN21)c1cccnc1,Active,IC50,401.5,6.396314450385301
158,9921833,Cc1noc(C)c1C(=O)N=C1SSC2=NCCN21,Active,IC50,405.0,6.392544976785331
159,127024597,N#Cc1ccc2nc(NC3CC3)c(N3CCN(S(=O)(=O)c4ccc(Br)s4)CC3)nc2c1.O=C(O)C(F)(F)F,Active,IC50,420.0,6.376750709602099
160,90038119,N#Cc1ccc2nc(N3CCN(Cc4cc(Cl)ccc4Cl)CC3)c(Nc3cccnc3)nc2c1,Active,IC50,440.0,6.356547323513812
161,127024545,Cc1cc(S(=O)(=O)N2CCN(c3nc4cc(C#N)ccc4nc3NC3CC3)CC2)c(C)cc1Cl.O=C(O)C(F)(F)F,Active,IC50,450.0,6.346787486224656
162,9944074,O=C(N=C1SSC2=NCCN21)c1ccc(Cl)cc1,Active,IC50,455.0,6.341988603342887
163,9943518,Cc1cccc(C(=O)N=C2SSC3=NCCN32)c1,Active,IC50,465.0,6.332547047110046
